no,tingkat_pendidikan,Usia,nama_prodi,Pengalaman Kerja,Sertifikat,disabilitas,status_pernikahan,jumlah_anak
1,SMK / MAK / Sederajat,20,Seni Karawitan,tidak ada,tidak ada,f,Belum menikah,0
2,Strata I (S1),30,Ilmu Komunikasi,tidak ada,tidak ada,t,Belum menikah,0
3,SMK / MAK / Sederajat,25,Teknik Kimia,tidak ada,tidak ada,f,Belum menikah,0
4,Diploma III,42,Manajemen,tidak ada,tidak ada,f,Menikah,1
5,Strata I (S1),26,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,0
6,Strata I (S1),32,Hukum Keluarga (Ahwal Syakhshiyah),tidak ada,tidak ada,f,Belum menikah,0
7,Strata I (S1),25,Manajemen,tidak ada,ada,f,Belum menikah,0
8,SMK / MAK / Sederajat,21,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
9,Diploma III,28,Manajemen Pariwisata,tidak ada,tidak ada,f,Belum menikah,0
10,Strata I (S1),31,Sistem Informasi,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,0
11,Strata I (S1),33,Ilmu Administrasi Niaga,tidak ada,tidak ada,f,Belum menikah,0
12,Diploma III,30,Manajemen Informatika,tidak ada,tidak ada,f,Belum menikah,0
13,SLTA / MA / Sederajat,25,IPA,tidak ada,tidak ada,f,Belum menikah,0
14,Strata I (S1),33,Teknik Industri,tidak ada,tidak ada,f,Belum menikah,0
15,Strata I (S1),31,Agribisnis,tidak ada,tidak ada,f,Menikah,0
16,Strata I (S1),36,Pendidikan Bahasa Inggris,tidak ada,tidak ada,f,Menikah,0
17,SMK / MAK / Sederajat,32,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
18,Strata I (S1),30,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
19,Strata I (S1),29,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
20,Strata I (S1),25,Administrasi Niaga,tidak ada,tidak ada,f,Belum menikah,0
21,Strata I (S1),31,Teknik Informatika,tidak ada,tidak ada,t,Belum menikah,0
22,Strata I (S1),24,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
